Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd) (Total)	Average Daily Flow (ADF) (mgd) (to Surface Water)	CBOD 	CBOD  Unit	QCBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	NH3	NH3 Unit	Q NH3	Other P (species)	Other P Unit	Q Other P
FL0026594	City of Largo		2017	1	9.04	4.17	1.45	mg/L		0.47	mg/L		2.34	mg/L		1.21	mg/L			mg/L		1.13	mg/L			mg/L		0.15	mg/L					0.072	mg/L				
FL0026595	City of Largo		2017	2	10.10	4.42	1.27	mg/L		0.49	mg/L		2.18	mg/L		1.07	mg/L			mg/L		1.10	mg/L			mg/L		0.09	mg/L					0.097	mg/L				
FL0026596	City of Largo		2017	3	9.55	3.34	1.13	mg/L		0.53	mg/L		2.46	mg/L		1.26	mg/L			mg/L		1.21	mg/L			mg/L		0.12	mg/L					0.079	mg/L				
FL0026597	City of Largo		2017	4	9.53	2.46	1.00	mg/L		0.46	mg/L		2.58	mg/L		1.34	mg/L			mg/L		1.24	mg/L			mg/L		0.19	mg/L					0.080	mg/L				
FL0026598	City of Largo		2017	5	9.25	2.09	1.05	mg/L		0.73	mg/L		2.76	mg/L		1.63	mg/L			mg/L		1.13	mg/L			mg/L		0.20	mg/L					0.095	mg/L				
FL0026599	City of Largo		2017	6	11.86	6.88	1.07	mg/L		0.42	mg/L		2.42	mg/L		1.36	mg/L			mg/L		1.06	mg/L			mg/L		0.11	mg/L					0.080	mg/L				
FL0026600	City of Largo		2017	7	12.47	7.20	1.36	mg/L		0.51	mg/L		2.39	mg/L		1.34	mg/L			mg/L		1.05	mg/L			mg/L		0.12	mg/L					0.078	mg/L				
FL0026601	City of Largo		2017	8	13.12	7.89	1.22	mg/L		0.81	mg/L		2.51	mg/L		1.38	mg/L			mg/L		1.13	mg/L			mg/L		0.14	mg/L					0.066	mg/L				
FL0026602	City of Largo		2017	9	14.84	10.51	1.40	mg/L		0.43	mg/L		2.25	mg/L		1.23	mg/L			mg/L		1.02	mg/L			mg/L		0.27	mg/L					0.061	mg/L				
FL0026603	City of Largo		2017	10	13.00	8.36	0.92	mg/L		0.44	mg/L		2.23	mg/L		1.15	mg/L			mg/L		1.08	mg/L			mg/L		0.17	mg/L					0.077	mg/L				
FL0026603	City of Largo		2017	11	11.25	6.12	1.39	mg/L		0.41	mg/L		2.32	mg/L		1.22	mg/L			mg/L		1.10	mg/L			mg/L		0.21	mg/L					0.085	mg/L				
FL0026603	City of Largo		2017	12	10.30	5.52	0.95	mg/L		0.41	mg/L		2.44	mg/L		1.27	mg/L			mg/L		1.17	mg/L			mg/L		0.17	mg/L					0.093	mg/L				
FL0026603	City of Largo		2018	1	11.77	7.25	1.28	mg/L		0.41	mg/L		2.37	mg/L		1.25	mg/L			mg/L		1.12	mg/L			mg/L		0.10	mg/L					0.085	mg/L				
FL0026603	City of Largo		2018	2	12.40	7.92	1.87	mg/L		0.44	mg/L		2.53	mg/L		1.42	mg/L			mg/L		1.11	mg/L			mg/L		0.10	mg/L					0.085	mg/L				
FL0026603	City of Largo		2018	3	10.71	5.42	3.07	mg/L		0.47	mg/L		2.39	mg/L		1.19	mg/L			mg/L		1.19	mg/L			mg/L		0.16	mg/L					0.127	mg/L				
FL0026603	City of Largo		2018	4	10.61	4.44	1.08	mg/L		0.42	mg/L		2.05	mg/L		0.96	mg/L			mg/L		1.09	mg/L			mg/L		0.23	mg/L					0.128	mg/L				
FL0026603	City of Largo		2018	5	10.69	4.91	1.03	mg/L		0.41	mg/L		2.13	mg/L		1.08	mg/L			mg/L		1.04	mg/L			mg/L		0.39	mg/L					0.104	mg/L				
FL0026603	City of Largo		2018	6	10.04	4.34	1.23	mg/L		0.42	mg/L		1.92	mg/L		0.93	mg/L			mg/L		0.99	mg/L			mg/L		0.53	mg/L					0.106	mg/L				
FL0026603	City of Largo		2018	7	11.29	5.54	3.39	mg/L		0.44	mg/L		2.22	mg/L		1.03	mg/L			mg/L		1.19	mg/L			mg/L		0.34	mg/L					0.081	mg/L				
FL0026603	City of Largo		2018	8	18.01	13.03	4.37	mg/L		0.46	mg/L		2.48	mg/L		1.36	mg/L			mg/L		1.12	mg/L			mg/L		0.20	mg/L					0.077	mg/L				
FL0026603	City of Largo		2018	9	14.69	9.71	3.48	mg/L		0.48	mg/L		2.22	mg/L		1.19	mg/L			mg/L		1.03	mg/L			mg/L		0.14	mg/L					0.086	mg/L				
FL0026603	City of Largo		2018	10	11.69	6.02	2.23	mg/L		0.45	mg/L		2.33	mg/L		1.31	mg/L			mg/L		1.02	mg/L			mg/L		0.48	mg/L					0.060	mg/L				
FL0026603	City of Largo		2018	11	10.80	5.08	2.34	mg/L		0.45	mg/L		2.24	mg/L		1.26	mg/L			mg/L		0.99	mg/L			mg/L		0.61	mg/L					0.064	mg/L				
FL0026603	City of Largo		2018	12	13.98	9.37	1.30	mg/L		0.43	mg/L		2.38	mg/L		1.43	mg/L			mg/L		0.95	mg/L			mg/L		0.17	mg/L					0.093	mg/L				
