Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd)	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0028061	South County Regional AWWTF	D-001	2021	1	1.931	1.17	mg/l		0.36	mg/l		1.95	mg/l		1.24	mg/l		0.03	mg/l	<	0.78	mg/l		0.74	mg/l		0.10	mg/l		0.08	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	2	1.962	0.76	mg/l		0.28	mg/l		1.89	mg/l		1.13	mg/l		0.03	mg/l		0.78	mg/l		0.75	mg/l		0.09	mg/l		0.06	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	3	0.872	2.23	mg/l		0.56	mg/l		2.73	mg/l		1.68	mg/l		0.04	mg/l		0.98	mg/l		0.95	mg/l		0.18	mg/l		0.16	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	4	0.936	1.76	mg/l		0.57	mg/l		1.66	mg/l		0.74	mg/l		0.04	mg/l		0.94	mg/l		0.90	mg/l		0.31	mg/l		0.28	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	5	0.008	2.60	mg/l		0.75	mg/l		1.27	mg/l		0.96	mg/l		0.05	mg/l		0.99	mg/l		0.94	mg/l		0.38	mg/l		0.32	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	6	0.832	1.95	mg/l		0.27	mg/l		2.86	mg/l		1.48	mg/l		0.04	mg/l		0.96	mg/l		0.92	mg/l		0.18	mg/l		0.15	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	7	2.707	1.55	mg/l		1.12	mg/l		2.46	mg/l		1.53	mg/l		0.04	mg/l		1.01	mg/l		0.97	mg/l		0.18	mg/l		0.14	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	8	1.851	2.22	mg/l		0.98	mg/l		1.74	mg/l		0.83	mg/l		0.04	mg/l		0.97	mg/l		0.94	mg/l		0.21	mg/l		0.17	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	9	2.761	3.15	mg/l		0.89	mg/l		2.84	mg/l		1.77	mg/l		0.06	mg/l		1.07	mg/l		1.01	mg/l		0.20	mg/l		0.18	mg/l							
FL0028061	South County Regional AWWTF	D-001	2021	10	0.773	1.10	mg/l		0.87	mg/l		2.78	mg/l		1.76	mg/l		0.07	mg/l		1.06	mg/l		1.00	mg/l		0.28	mg/l		0.24	mg/l							
