Permit.Number	Facility.Name	Outfall.ID	Year	Month	Average.Daily.Flow..ADF...mgd.	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P
FL0034657	Coronet Industries, Inc.	D-001	2021	1	9.78073098174473e-07	NA	NA	NA	3.32240710970999			1.12209482832997	NA		0.0111301005865455			0.149631205072049		NA	1.55287768896291	NA		NA	NA	NA	2.65714829730251			3.79061170954396			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	2	3.81525730883175e-07	NA	NA	NA	3.10844553260402			1.30202185242715	NA		0.0072318965799768			0.260171237759992		NA	1.34771365200206	NA		NA	NA	NA	4.27368745288449			2.05570160856005			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	3	1.61104087429252e-08	NA	NA	NA	3.00764610846647			1.40283829773978	NA		0.0102067772744665			0.23851378805938		NA	1.70029924808596	NA		NA	NA	NA	5.27218107682747			4.6552418070467			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	4	0.000138898040179731	NA	NA	NA	3.32177748004775			1.97839377534766	NA		0.0110324161376728			0.245405939718163		NA	1.23967344598857	NA		NA	NA	NA	3.98674933653071			2.56782881755345			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	5	0.00379871739300197	NA	NA	NA	3.21500814699972			0.927857974624149	NA		0.0097928929542164			0.147360320719433		NA	1.64876648870322	NA		NA	NA	NA	2.82811025303724			4.01549081423576			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	6	1.86789280044812e-07	NA	NA	NA	3.11941344216586			1.58709278577225	NA		0.0128950874581492			0.0636765073449797		NA	1.0287890377338	NA		NA	NA	NA	3.3729545991333			2.03858580728553			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	7	2.25075299162894e-10	NA	NA	NA	3.12032532188958			1.52395798052692	NA		0.0201819800406194			0.177020050660404		NA	1.40521204568688	NA		NA	NA	NA	4.02042529310334			2.03201746120969			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	8	0.143599673551033	NA	NA	NA	3.27098336516859	mg/l	Mo. Avg	1.53876192589511	NA	Mo. Avg	0.00600656735101565	mg/l	Mo. Avg	0.0715725142240457	mg/l	NA	1.17577040593196	NA	Mo. Avg	NA	NA	NA	2.49341382643551	mg/l	Mo. Avg	4.14408336260435	mg/l	Mo. Avg	NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	9	5.08032915232781e-05	NA	NA	NA	3.21750267575497	mg/l	Mo. Avg	1.60826240668882	NA	Mo. Avg	0.0160974265368435	mg/l	Mo. Avg	0.138335044070639	mg/l	NA	1.9339217808013	NA	Mo. Avg	NA	NA	NA	3.32957383353307	mg/l	Mo. Avg	8.19243016892953	mg/l	Mo. Avg	NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	10	8.55352002258272e-05	NA	NA	NA	3.39667647629101	mg/l	Mo. Avg	0.910460915105943	NA	Mo. Avg	0.0167886780141236	mg/l	Mo. Avg	0.0718857751319648	mg/l	NA	1.90072844892641	NA	Mo. Avg	NA	NA	NA	2.20455522027876	mg/l	Mo. Avg	3.87510319161235	mg/l	Mo. Avg	NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	11	0.00906141123924381	NA	NA	NA	3.26072525358492			1.20292432536349	NA		0.017025905134959			0.263499143355866		NA	1.20924379858611	NA		NA	NA	NA	3.20718501139522			3.45797445924598			NA	NA	NA	NA	NA	NA
FL0034657	Coronet Industries, Inc.	D-001	2021	12	1.06010113156381e-06	NA	NA	NA	3.22609301057285			1.96573486097334	NA		0.0099947399387761			0.141832803605122		NA	1.50465103251203	NA		NA	NA	NA	2.66064412539252			2.25409832150844			NA	NA	NA	NA	NA	NA
