SW Facility
Month	Year	Rec MGD	BOD mg/L	TSS mg/L	TN mg/L	TP mg/L
1	2017	9.00	2.20	0.60	23.80	1.40
2	2017	8.05	2.30	0.90	24.10	1.90
3	2017	10.72	2.40	0.70	24.40	1.80
4	2017	12.61	2.70	0.70	21.45	1.29
5	2017	14.35	2.10	0.60	20.76	1.00
6	2017	8.72	2.20	0.60	15.20	0.87
7	2017	10.40	2.30	0.60	15.10	0.68
8	2017	11.22	2.60	0.70	11.57	0.81
9	2017	10.72	2.30	0.70	11.56	1.06
10	2017	10.16	2.05	0.56	14.96	1.12
11	2017	10.05	2.10	0.50	15.23	0.39
12	2017	8.52	2.51	0.76	18.53	0.89
1	2018	7.38	2.50	0.70	22.78	1.28
2	2018	8.99	2.10	0.70	18.65	1.00
3	2018	10.97	2.30	0.80	22.83	1.33
4	2018	13.11	2.30	1.10	17.50	0.78
5	2018	13.87	2.00	0.60	13.02	0.58
6	2018	12.85	2.00	0.60	15.08	0.55
7	2018	11.03	2.03	0.62	10.16	0.42
8	2018	11.60	2.10	0.70	10.33	0.40
9	2018	11.58	2.33	1.42	12.70	0.64
10	2018	12.67	2.00	0.60	16.40	0.45
11	2018	12.72	2.00	0.60	19.00	0.39
12	2018	14.44	2.00	0.50	18.75	0.27
