Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd) - Influent	Effluent Flow (ADF) (MGD) D-001	Reuse Flow (ADF) (MGD) R-001	Reuse Flow to Pinellas (ADF) (MGD) R-002	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0128937	Northeast Water Reclamation Facility	D-001	2017	1	5.16	3.01	1.48	1.06	1.06			1.00			1.26			0.61			0.01			0.68						0.04											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	2	4.48	1.47	1.75	1.80	1.80			1.00			1.07			0.37			0.01			0.70						0.04											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	3	4.41	2.00	1.33	1.68	1.68			1.00			1.10			0.39			0.01			0.71						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	4	4.30	2.71	0.90	1.22	1.22			1.02			1.23			0.38			0.01			0.85						0.04											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	5	4.48	3.68	1.16	0.32	0.32			1.00			1.18			0.25			0.01			0.94						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	6	4.46	2.21	1.55	1.22	1.22			1.00			1.16			0.28			0.01			0.88						0.10											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	7	4.30	1.07	2.16	1.48	1.48			1.00			1.17			0.38			0.01			0.79						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	8	4.18	1.38	1.93	1.11	1.11			1.00			1.06			0.28			0.01			0.78						0.07											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	9	6.38	6.46	0.65	0.03	0.03			1.00			1.21			0.31			0.01			0.90						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	10	5.26	4.43	0.81	0.13	0.13			1.00			1.02			0.29			0.01			0.73						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	11	4.53	2.62	1.26	0.68	0.68			1.00			1.04			0.31			0.01			0.74						0.04											
FL0128937	Northeast Water Reclamation Facility	D-001	2017	12	4.51	3.16	1.09	0.54	0.54			1.00			1.23			0.39			0.01			0.84						0.02											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	1	4.53	2.62	1.26	0.68	2.00			1.00			1.31			0.49			0.01			0.82						0.02											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	2	4.51	3.16	1.09	0.54	2.00			1.00			1.22			0.32			0.01			0.90						0.02											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	3	4.89	4.80	0.76	0.76	2.00			1.00			1.19			0.33			0.01			0.86						0.02											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	4	5.41	4.74	1.43	0.32	1.10			1.00			1.23			0.34			0.01			0.81						0.02											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	5	4.73	5.06	2.88	3.91	2.00			1.00			1.45			0.36			0.01			0.82						0.04											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	6	4.71	1.24	2.73	0.22	2.00			1.00			1.14			0.23			0.01			0.90						0.10											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	7	4.93	2.21	3.28	0.13	2.00			1.00			0.99			0.23			0.01			0.76						0.10											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	8	5.05	2.22	2.95	0.10	1.00			0.52			0.97			0.24			0.01			0.73						0.07											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	9	4.95	6.23	3.74	0.19	1.00			0.52			1.04			0.26			0.01			0.78						0.05											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	10	5.89	6.37	1.73	0.00	1.00			0.55			1.11			0.32			0.01			0.79						0.08											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	11	4.82	5.25	2.78	0.10	1.00			0.58			1.33			0.58			0.01			0.80						0.08											
FL0128937	Northeast Water Reclamation Facility	D-001	2018	12	5.85	6.35	1.89	0.02	1.08			0.50			1.84			0.90			0.01			0.94						0.02											
