Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd)	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0041670	Northwest Regional WRF	D-001	2017	1	0.225	0.40	mg/l		0.50	mg/l	<	1.78	mg/l		1.14	mg/l		0.06	mg/l	<	0.65	mg/l		0.60	mg/l		0.20	mg/l		0.31	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	2	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2017	3	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2017	4	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2017	5	0.014	0.30	mg/l		0.50	mg/l	<	1.24	mg/l		0.54	mg/l		0.06	mg/l	<	0.71	mg/l		0.66	mg/l		0.34	mg/l										
FL0041670	Northwest Regional WRF	D-001	2017	6	0.868	0.80	mg/l		0.50	mg/l	<	2.66	mg/l		1.83	mg/l		0.04	mg/l	<	0.84	mg/l		0.80	mg/l		0.92	mg/l		0.62	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	7	2.103	0.16	mg/l		0.50	mg/l		1.33	mg/l		0.62	mg/l		0.06	mg/l	<	0.73	mg/l		0.67	mg/l		0.23	mg/l		0.41	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	8	2.046	0.40	mg/l		0.50	mg/l	<	1.32	mg/l		0.60	mg/l		0.06	mg/l	<	0.73	mg/l		0.67	mg/l		0.21	mg/l		0.22	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	9	3.533	1.30	mg/l		0.50	mg/l	<	2.46	mg/l		1.85	mg/l		0.05	mg/l		0.62	mg/l		0.57	mg/l		0.42	mg/l		0.40	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	10	0.363	0.95	mg/l		0.50	mg/l	<	1.96	mg/l		1.22	mg/l		0.06	mg/l	<	0.75	mg/l		0.70	mg/l		1.07	mg/l		0.47	mg/l							
FL0041670	Northwest Regional WRF	D-001	2017	11	1.041	0.50	mg/l		0.50	mg/l	<	2.57	mg/l		1.66	mg/l		0.03	mg/l		0.93	mg/l		0.90	mg/l		0.38	mg/l										
FL0041670	Northwest Regional WRF	D-001	2017	12	0.337	0.30	mg/l		0.50	mg/l	<	2.59	mg/l		1.61	mg/l		0.06	mg/l	<	0.99	mg/l		0.94	mg/l		0.14	mg/l		0.40	mg/l							
FL0041670	Northwest Regional WRF	D-001	2018	1	3.639	0.70	mg/l		0.53	mg/l		2.14	mg/l		1.34	mg/l		0.05	mg/l	<	0.82	mg/l		0.77	mg/l		0.20	mg/l		0.31	mg/l							
FL0041670	Northwest Regional WRF	D-001	2018	2	2.902	0.93	mg/l		0.50	mg/l	<	2.35	mg/l		1.51	mg/l		0.06	mg/l	<	0.86	mg/l		0.80	mg/l		0.33	mg/l		0.45	mg/l							
FL0041670	Northwest Regional WRF	D-001	2018	3	0.116	1.10	mg/l		0.60	mg/l		1.15	mg/l		0.41	mg/l		0.06	mg/l	<	0.76	mg/l		0.71	mg/l		0.15	mg/l		0.57	mg/l							
FL0041670	Northwest Regional WRF	D-001	2018	4	0.455	0.60	mg/l		0.50	mg/l	<	1.90	mg/l		1.09	mg/l		0.06	mg/l	<	0.83	mg/l		0.77	mg/l		0.35	mg/l		0.59	mg/l							
FL0041670	Northwest Regional WRF	D-001	2018	5	3.837	0.90	mg/l		0.50	mg/l	<	1.27	mg/l		0.60	mg/l		0.07	mg/l	<	0.70	mg/l		0.62	mg/l		0.23	mg/l		0.38	mg/l							
