Permit.Number	Facility.Name	Outfall.ID	Year	Month	Average.Daily.Flow..ADF...mgd.	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P
FL0036820	Dale Mabry AWWTF	D-001	2017	1	0.0708394814685226	1.88139606852743	mg/l	NA	0.496541508331108	mg/l	<	1.7831870901025	mg/l	NA	1.78454892214587	mg/l	NA	0.0323944449922679	mg/l	<	0.652930774640519	mg/l	NA	0.540054628870208	mg/l	NA	0.20457829812617	mg/l	NA	0.225390309151176	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	2	6.01380655582294e-05	1.36399354251292	mg/l	NA	0.502769983064368	mg/l	<	1.37859941016374	mg/l	NA	0.71683398701808	mg/l	NA	0.0405237246208049	mg/l	<	0.671919090355548	mg/l	NA	0.621409188763633	mg/l	NA	0.18728495164733	mg/l	NA	0.271334389519895	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	3	2.53091834318666	1.20335554238058	mg/l	NA	0.505437187547993	mg/l		1.71354519543865	mg/l	NA	0.516496186976473	mg/l	NA	0.0268389962565022	mg/l	<	0.646787520688255	mg/l	NA	0.609202375818214	mg/l	NA	0.245094267247341	mg/l	NA	0.296795085574583	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	4	0.00015287814698032	1.32417194158395	mg/l	NA	0.502867662201556	mg/l	<	1.87383755543901	mg/l	NA	0.252582945784059	mg/l	NA	0.0292583013711962	mg/l	<	0.688528803014373	mg/l	NA	0.596501380677113	mg/l	NA	0.388168342489564	mg/l	NA	0.304588717131511	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	5	4.00377541363114e-09	1.1913826834885	mg/l	NA	0.497905792052297	mg/l	<	1.53069194320619	mg/l	NA	0.813150861571811	mg/l	NA	0.0438937492962954	mg/l	<	0.568920029212224	mg/l	NA	0.570340707174612	mg/l	NA	0.507645955726143	mg/l	NA	0.164900801301698	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	6	1.88862148407839	1.1592910857796	mg/l	NA	0.496838325597103	mg/l	<	1.27197352215203	mg/l	NA	0.713613889821545	mg/l	NA	0.0395055835741775	mg/l	<	0.462569999694993	mg/l	NA	0.593286535937484	mg/l	NA	0.157307211203978	mg/l	NA	0.334813335697175	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	7	0.000806120907175096	1.16778784573528	mg/l	NA	0.500784788936938	mg/l	<	1.61442788663429	mg/l	NA	0.781393415818511	mg/l	NA	0.0471599768332393	mg/l	<	0.774626008769496	mg/l	NA	0.585147457105352	mg/l	NA	0.297507379301818	mg/l	NA	0.254894570575636	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	8	0.0255109755635469	1.25491918308382	mg/l	NA	0.501408646425733	mg/l	<	2.55557525299041	mg/l	NA	0.714093587561726	mg/l	NA	0.0496427508577892	mg/l	<	0.62311115830078	mg/l	NA	0.571023647702814	mg/l	NA	0.211458369214298	mg/l	NA	0.314493324819795	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	9	9.76145704712873e-08	1.18917608609209	mg/l	NA	0.501377903180778	mg/l		0.828631120784617	mg/l	NA	1.09840724916882	mg/l	NA	0.0469742979667114	mg/l	<	0.662970097111644	mg/l	NA	0.494715800677968	mg/l	NA	0.340677433406393	mg/l	NA	0.336655913979949	mg/l	NA	NA	NA	NA	NA	NA	NA
FL0036820	Dale Mabry AWWTF	D-001	2017	10	0.000455841568823433	1.71140824404658	mg/l	NA	0.498478992362786	mg/l		2.00330377143152	mg/l	NA	0.919272019392674	mg/l	NA	0.0498029055911041	mg/l		0.525491865500526	mg/l	NA	0.566907809224723	mg/l	NA	0.364140353348268	mg/l	NA	0.293269229020757	mg/l	NA	NA	NA	NA	NA	NA	NA
