Permit.Number	Facility.Name	Outfall.ID	Year	Month	Average.Daily.Flow..ADF...mgd.	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P
FL0188651	Lowry Park Zoo	D-001	2019	1	0.0404161596470468	NA	NA	NA	NA	NA	NA	1.85278940020838	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.298822758439174	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	2	0.0655589880877749	NA	NA	NA	NA	NA	NA	0.616157598962723	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.226498222751077	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	3	0.0474618221579652	NA	NA	NA	NA	NA	NA	1.01165852891985	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.307111153605299	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	4	0.0531002695298148	NA	NA	NA	NA	NA	NA	0.875774828615895	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.266930030750514	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	5	0.0512169186125915	NA	NA	NA	NA	NA	NA	0.731021569804381	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.241404788192816	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	6	0.0418072556706436	NA	NA	NA	NA	NA	NA	1.74734189311813	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28632391058705	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	7	0.0653163889854524	NA	NA	NA	NA	NA	NA	0.893001768565319	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.335301262951484	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	8	0.0813160370569223	NA	NA	NA	NA	NA	NA	1.06081579504308	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.250640631779973	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	9	0.0547784258382338	NA	NA	NA	NA	NA	NA	1.1112168528339	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.248852446660707	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	10	0.0522950311730514	NA	NA	NA	NA	NA	NA	1.71933916649677	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.258580046767753	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	11	0.047516744650125	NA	NA	NA	NA	NA	NA	1.30481150562469	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277565333125551	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FL0188651	Lowry Park Zoo	D-001	2019	12	0.0623189883690119	NA	NA	NA	NA	NA	NA	1.10296124318434	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.238828979794257	mg/L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
