NE Facility										
Month	Year	Rec MGD	BOD mg/L	TSS mg/L	TN mg/L	TP mg/L				
1	2021	4.602	2.2	0.70	20.25	0.69				
2	2021	2.968	2.1	0.50	19.25	0.86				
3	2021	4.510	2.4	0.60	25.40	1.32				
4	2021	4.592	2.3	0.60	22.25	1.15				
5	2021	5.953	2.0	0.60	24.50	1.53				
6	2021	6.016	2.0	0.60	21.40	1.36				
7	2021	4.417	2.3	1.30	18.25	1.00				
8	2021	4.524	2.1	0.94	17.40	0.98				
9	2021	4.033	2.1	1.16	16.80	0.81				
10	2021	5.851	2.0	0.70	25.50	1.57				
11	2021	4.831	2.0	0.68	20.60	0.73				
12	2021	4.578	2.2	0.75	24.20	1.41				
