Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd)	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0027821	River Oaks AWWTF	D-001	2017	1	5.188	0.81	mg/l		0.63	mg/l		1.05	mg/l		0.25	mg/l		0.06	mg/l	<	0.81	mg/l		0.76	mg/l		0.04	mg/l		0.03	mg/l	<						
FL0027821	River Oaks AWWTF	D-001	2017	2	5.654	1.54	mg/l		0.57	mg/l		0.83	mg/l		0.14	mg/l		0.03	mg/l		0.71	mg/l		0.68	mg/l		0.09	mg/l		0.01	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	3	3.957	0.72	mg/l		0.63	mg/l		1.55	mg/l		0.67	mg/l		0.06	mg/l		0.89	mg/l		0.83	mg/l		0.20	mg/l		0.16	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	4	0.885	0.63	mg/l		0.57	mg/l		1.20	mg/l		0.43	mg/l		0.06	mg/l	<	0.83	mg/l		0.77	mg/l		0.07	mg/l		0.03	mg/l	<						
FL0027821	River Oaks AWWTF	D-001	2017	5	0.924	0.56	mg/l		0.50	mg/l		0.71	mg/l		0.07	mg/l		0.06	mg/l	<	0.68	mg/l		0.62	mg/l		0.05	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	6	6.261	0.71	mg/l		0.51	mg/l		0.72	mg/l		0.06	mg/l		0.06	mg/l	<	0.68	mg/l		0.63	mg/l		0.05	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	7	6.678	0.66	mg/l		0.63	mg/l		1.06	mg/l		0.16	mg/l		0.06	mg/l	<	0.93	mg/l		0.87	mg/l		0.21	mg/l		0.12	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	8	7.691	0.99	mg/l		0.56	mg/l		1.16	mg/l		0.25	mg/l		0.06	mg/l	<	0.93	mg/l		0.87	mg/l		0.17	mg/l		0.11	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	9	8.674	1.54	mg/l		2.32	mg/l		1.21	mg/l		0.20	mg/l		0.06	mg/l	<	1.05	mg/l		0.99	mg/l		0.11	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	10	6.454	1.24	mg/l		0.50	mg/l		1.00	mg/l		0.20	mg/l		0.06	mg/l	<	0.82	mg/l		0.76	mg/l		0.05	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2017	11	4.490	1.10	mg/l		0.50	mg/l	<	1.34	mg/l		0.49	mg/l		0.06	mg/l	<	0.91	mg/l		0.86	mg/l		0.06	mg/l		0.03	mg/l	<						
FL0027821	River Oaks AWWTF	D-001	2017	12	5.986	1.24	mg/l		0.50	mg/l		1.82	mg/l		0.98	mg/l		0.05	mg/l	<	0.86	mg/l		0.81	mg/l		0.05	mg/l		0.03	mg/l	<						
FL0027821	River Oaks AWWTF	D-001	2018	1	6.345	1.63	mg/l		0.50	mg/l		2.07	mg/l		1.29	mg/l		0.35	mg/l		0.80	mg/l		0.45	mg/l		0.05	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2018	2	6.260	0.79	mg/l		0.53	mg/l		1.24	mg/l		0.46	mg/l		0.06	mg/l	<	0.81	mg/l		0.75	mg/l		0.05	mg/l		0.03	mg/l	<						
FL0027821	River Oaks AWWTF	D-001	2018	3	4.706	0.79	mg/l		0.50	mg/l		1.26	mg/l		0.44	mg/l		0.06	mg/l	<	0.84	mg/l		0.78	mg/l		0.07	mg/l		0.03	mg/l							
FL0027821	River Oaks AWWTF	D-001	2018	4	4.252	0.82	mg/l		0.54	mg/l		0.88	mg/l		0.12	mg/l		0.06	mg/l	<	0.78	mg/l		0.73	mg/l		0.05	mg/l		0.03	mg/l	<						
